nocomp,100,11461
nocomp,50,10745
nocomp,25,22847
nocomp,13,38869
nocomp,6,82418
snappy,100,10897
snappy,50,11349
snappy,25,11066
snappy,13,20204
snappy,6,42546
lzo,100,12405
lzo,50,13509
lzo,25,19737
lzo,13,38023
lzo,6,82633
lz4,100,11346
lz4,50,11079
lz4,25,10967
lz4,13,19783
lz4,6,43599
